分数,本段人数,累计人数
661及以上,50,50
660,4,54
659,3,57
658,1,58
657,2,60
656,3,63
655,8,71
654,8,79
653,9,88
652,12,100
651,10,110
650,16,126
649,13,139
648,14,153
647,17,170
646,8,178
645,18,196
644,18,214
643,14,228
642,10,238
641,24,262
640,32,294
639,26,320
638,19,339
637,30,369
636,31,400
635,36,436
634,28,464
633,27,491
632,31,522
631,43,565
630,45,610
629,41,651
628,45,696
627,39,735
626,47,782
625,39,821
624,46,867
623,54,921
622,43,964
621,52,1016
620,53,1069
619,51,1120
618,64,1184
617,57,1241
616,67,1308
615,69,1377
614,62,1439
613,77,1516
612,79,1595
611,78,1673
610,83,1756
609,85,1841
608,104,1945
607,85,2030
606,94,2124
605,95,2219
604,93,2312
603,101,2413
602,96,2509
601,115,2624
600,114,2738
599,101,2839
598,118,2957
597,117,3074
596,97,3171
595,117,3288
594,134,3422
593,122,3544
592,137,3681
591,121,3802
590,131,3933
589,124,4057
588,142,4199
587,152,4351
586,146,4497
585,147,4644
584,170,4814
583,188,5002
582,156,5158
581,160,5318
580,194,5512
579,163,5675
578,175,5850
577,182,6032
576,182,6214
575,173,6387
574,200,6587
573,182,6769
572,195,6964
571,214,7178
570,212,7390
569,185,7575
568,186,7761
567,222,7983
566,212,8195
565,215,8410
564,219,8629
563,216,8845
562,259,9104
561,224,9328
560,199,9527
559,225,9752
558,246,9998
557,252,10250
556,248,10498
555,242,10740
554,255,10995
553,227,11222
552,259,11481
551,251,11732
550,241,11973
549,288,12261
548,290,12551
547,261,12812
546,290,13102
545,288,13390
544,256,13646
543,294,13940
542,301,14241
541,300,14541
540,309,14850
539,271,15121
538,305,15426
537,330,15756
536,320,16076
535,332,16408
534,320,16728
533,335,17063
532,337,17400
531,314,17714
530,327,18041
529,338,18379
528,367,18746
527,347,19093
526,342,19435
525,333,19768
524,318,20086
523,367,20453
522,354,20807
521,341,21148
520,342,21490
519,344,21834
518,368,22202
517,371,22573
516,331,22904
515,350,23254
514,368,23622
513,333,23955
512,392,24347
511,380,24727
510,368,25095
509,398,25493
508,409,25902
507,382,26284
506,405,26689
505,378,27067
504,394,27461
503,374,27835
502,375,28210
501,405,28615
500,398,29013
499,414,29427
498,397,29824
497,351,30175
496,403,30578
495,418,30996
494,374,31370
493,376,31746
492,422,32168
491,362,32530
490,387,32917
489,434,33351
488,386,33737
487,429,34166
486,423,34589
485,437,35026
484,408,35434
483,442,35876
482,431,36307
481,405,36712
480,391,37103
479,397,37500
478,432,37932
477,446,38378
476,430,38808
475,413,39221
474,461,39682
473,423,40105
472,429,40534
471,423,40957
470,432,41389
469,443,41832
468,442,42274
467,439,42713
466,409,43122
465,437,43559
464,480,44039
463,396,44435
462,437,44872
461,425,45297
460,433,45730
459,396,46126
458,422,46548
457,444,46992
456,459,47451
455,430,47881
454,441,48322
453,448,48770
452,484,49254
451,466,49720
450,449,50169
449,453,50622
448,436,51058
447,406,51464
446,451,51915
445,445,52360
444,427,52787
443,447,53234
442,452,53686
441,420,54106
440,485,54591
439,433,55024
438,468,55492
437,429,55921
436,407,56328
435,461,56789
434,432,57221
433,440,57661
432,456,58117
431,466,58583
430,432,59015
429,475,59490
428,481,59971
427,462,60433
426,446,60879
425,427,61306
424,475,61781
423,460,62241
422,449,62690
421,459,63149
420,470,63619
419,421,64040
418,443,64483
417,470,64953
416,429,65382
415,448,65830
414,505,66335
413,418,66753
412,462,67215
411,400,67615
410,446,68061
409,462,68523
408,458,68981
407,440,69421
406,412,69833
405,457,70290
404,431,70721
403,439,71160
402,455,71615
401,452,72067
400,430,72497
399,427,72924
398,455,73379
397,423,73802
396,409,74211
395,431,74642
394,449,75091
393,426,75517
392,421,75938
391,399,76337
390,401,76738
389,395,77133
388,420,77553
387,448,78001
386,450,78451
385,406,78857
384,408,79265
383,425,79690
382,385,80075
381,362,80437
380,411,80848
379,387,81235
378,420,81655
377,368,82023
376,397,82420
375,396,82816
374,413,83229
373,397,83626
372,403,84029
371,375,84404
370,419,84823
369,376,85199
368,413,85612
367,365,85977
366,383,86360
365,352,86712
364,350,87062
363,367,87429
362,364,87793
361,382,88175
360,368,88543
359,353,88896
358,339,89235
357,366,89601
356,331,89932
355,338,90270
354,308,90578
353,316,90894
352,319,91213
351,338,91551
350,320,91871
349,298,92169
348,335,92504
347,283,92787
346,310,93097
345,277,93374
344,290,93664
343,289,93953
342,272,94225
341,256,94481
340,303,94784
339,281,95065
338,317,95382
337,245,95627
336,260,95887
335,257,96144
334,263,96407
333,258,96665
332,251,96916
331,232,97148
330,249,97397
329,224,97621
328,258,97879
327,250,98129
326,231,98360
325,232,98592
324,202,98794
323,194,98988
322,201,99189
321,236,99425
320,203,99628
319,224,99852
318,217,100069
317,188,100257
316,176,100433
315,215,100648
314,182,100830
313,161,100991
312,161,101152
311,160,101312
310,171,101483
309,157,101640
308,178,101818
307,152,101970
306,169,102139
305,139,102278
304,147,102425
303,143,102568
302,152,102720
301,159,102879
300,139,103018
299,157,103175
298,127,103302
297,134,103436
296,138,103574
295,147,103721
294,98,103819
293,112,103931
292,126,104057
291,109,104166
290,101,104267
289,88,104355
288,103,104458
287,102,104560
286,81,104641
285,100,104741
284,94,104835
283,97,104932
282,92,105024
281,82,105106
280,91,105197
279,89,105286
278,78,105364
277,77,105441
276,81,105522
275,68,105590
274,65,105655
273,69,105724
272,73,105797
271,67,105864
270,66,105930
269,57,105987
268,69,106056
267,55,106111
266,64,106175
265,52,106227
264,51,106278
263,49,106327
262,39,106366
261,56,106422
260,46,106468
259,51,106519
258,55,106574
257,32,106606
256,49,106655
255,50,106705
254,33,106738
253,27,106765
252,37,106802
251,41,106843
250,30,106873
249,36,106909
248,31,106940
247,23,106963
246,16,106979
245,30,107009
244,24,107033
243,27,107060
242,27,107087
241,28,107115
240,24,107139
239,12,107151
238,23,107174
237,20,107194
236,20,107214
235,18,107232
234,23,107255
233,12,107267
232,12,107279
231,13,107292
230,8,107300
229,14,107314
228,11,107325
227,10,107335
226,14,107349
225,18,107367
224,8,107375
223,8,107383
222,10,107393
221,10,107403
220,12,107415
219,5,107420
218,14,107434
217,9,107443
216,6,107449
215,6,107455
214,13,107468
213,15,107483
212,7,107490
211,7,107497
210,4,107501
209,8,107509
208,11,107520
207,10,107530
206,6,107536
205,6,107542
204,3,107545
203,7,107552
202,9,107561
201,6,107567
200,2,107569
199,2,107571
198,6,107577
197,5,107582
196,3,107585
195,4,107589
194,4,107593
193,3,107596
192,3,107599
191,0,107599
190,4,107603
189,1,107604
188,1,107605
187,3,107608
186,2,107610
185,5,107615
184,0,107615
183,4,107619
182,0,107619
181,5,107624
180,4,107628
